"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Romulea ramiflora  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_ramiflora_CLF125340";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_ramiflora_CLF125340.jpg"
"Romulea requienii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_requienii_CLF125341";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_requienii_CLF125341.jpg"
"Romulea requienii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_requienii_CLF125342";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_requienii_CLF125342.jpg"
"Romulea requienii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_requienii_CLF125343";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_requienii_CLF125343.jpg"
"Romulea rollii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_rollii_CLF125344";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_rollii_CLF125344.jpg"
"Tritonia orocosmiflora  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Tritonia_orocosmiflora_CLF125345";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Tritonia_orocosmiflora_CLF125345.jpg"
"Juglans nigra  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Juglans_nigra_CLF125346";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Juglans_nigra_CLF125346.jpg"
"Juglans regia  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Juglans_regia_CLF125347";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Juglans_regia_CLF125347.jpg"
"Juncus acutiflorus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutiflorus_CLF125348";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutiflorus_CLF125348.jpg"
"Juncus acutiflorus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutiflorus_CLF125349";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutiflorus_CLF125349.jpg"
"Juncus acutiflorus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutiflorus_CLF125350";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutiflorus_CLF125350.jpg"
"Juncus acutiflorus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutiflorus_CLF125351";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutiflorus_CLF125351.jpg"
"Juncus acutiflorus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutiflorus_CLF125352";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutiflorus_CLF125352.jpg"
"Juncus acutiflorus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutiflorus_CLF125353";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutiflorus_CLF125353.jpg"
"Juncus acutus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_acutus_CLF125354";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_acutus_CLF125354.jpg"
"Juncus alpinoarticulatus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_alpinoarticulatus_CLF125355";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_alpinoarticulatus_CLF125355.jpg"
"Juncus alpinus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_alpinus_CLF125356";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_alpinus_CLF125356.jpg"
"Juncus arcticus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_arcticus_CLF125357";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_arcticus_CLF125357.jpg"
"Juncus articulatus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_articulatus_CLF125358";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_articulatus_CLF125358.jpg"
"Juncus articulatus  (Juncaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Juncaceae_Juncus_articulatus_CLF125359";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Juncaceae_Juncus_articulatus_CLF125359.jpg"
