"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Silene cucubalus (Caryophyllaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Caryophyllaceae_Silene_cucubalus_CLF120992";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Caryophyllaceae_Silene_cucubalus_CLF120992.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_cucubalus_CLF120992.jpg"
"Silene glauca (Caryophyllaceae)";"Le Cesve";;;;"Herbiers universitaires de Clermont-Ferrand";1938;"still image";"image/jpeg";"Caryophyllaceae_Silene_glauca_CLF120994";"Bibliothèque Université Clermont auvergne";"fre";;"Oran, Mers el Kébir";"Domaine public";"Caryophyllaceae_Silene_glauca_CLF120994.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_glauca_CLF120994.jpg"
"Silene imbricata (Caryophyllaceae)";"Maire";;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Caryophyllaceae_Silene_imbricata_CLF120993";"Bibliothèque Université Clermont auvergne";"fre";;"Alger";"Domaine public";"Caryophyllaceae_Silene_imbricata_CLF120993.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_imbricata_CLF120993.jpg"
"Silene italicum (Caryophyllaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Caryophyllaceae_Silene_italicum_CLF120981";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Caryophyllaceae_Silene_italicum_CLF120981.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_italicum_CLF120981.jpg"
"Silene inflata (Caryophyllaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Caryophyllaceae_Silene_inflata_CLF120999";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Caryophyllaceae_Silene_inflata_CLF120999.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_inflata_CLF120999.jpg"
"Silene longiscapa (Caryophyllaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1983;"still image";"image/jpeg";"Caryophyllaceae_Silene_longiscapa_CLF120982";"Bibliothèque Université Clermont auvergne";"fre";;"Abriès, Valpréveyre";"Domaine public";"Caryophyllaceae_Silene_longiscapa_CLF120982.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_longiscapa_CLF120982.jpg"
"Silene nutans (Caryophyllaceae)";"Sellier";;;;"Herbiers universitaires de Clermont-Ferrand";1891;"still image";"image/jpeg";"Caryophyllaceae_Silene_nutans_CLF120987";"Bibliothèque Université Clermont auvergne";"fre";;"Rians";"Domaine public";"Caryophyllaceae_Silene_nutans_CLF120987.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_nutans_CLF120987.jpg"
"Silene otites (Caryophyllaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1987;"still image";"image/jpeg";"Caryophyllaceae_Silene_otites_CLF120983";"Bibliothèque Université Clermont auvergne";"fre";;"Luthenay-Uxeloup,Port des Bois";"Domaine public";"Caryophyllaceae_Silene_otites_CLF120983.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_otites_CLF120983.jpg"
"Silene otites (Caryophyllaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Caryophyllaceae_Silene_otites_CLF120984";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Caryophyllaceae_Silene_otites_CLF120984.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_otites_CLF120984.jpg"
"Silene otites (Caryophyllaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Caryophyllaceae_Silene_otites_CLF120989";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Caryophyllaceae_Silene_otites_CLF120989.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Caryophyllaceae_Silene_otites_CLF120989.jpg"
