"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Alisma lanceolatum  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_lanceolatum_CLF114633";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_lanceolatum_CLF114633.jpg"
"Alisma natans  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_natans_CLF114636";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_natans_CLF114636.jpg"
"Alisma lanceolatum  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_lanceolatum_CLF114637";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_lanceolatum_CLF114637.jpg"
"Alisma plantagoaquatica  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_plantagoaquatica_CLF114638";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_plantagoaquatica_CLF114638.jpg"
"Alisma natans  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_natans_CLF114639";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_natans_CLF114639.jpg"
"Alisma plantagoaquatica  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_plantagoaquatica_CLF114641";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_plantagoaquatica_CLF114641.jpg"
"Baldellia repens  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Baldellia_repens_CLF114642";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Baldellia_repens_CLF114642.jpg"
"Baldellia ranunculoides  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Baldellia_ranunculoides_CLF114640";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Baldellia_ranunculoides_CLF114640.jpg"
"Caldesia parnassifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Caldesia_parnassifolia_CLF114644";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Caldesia_parnassifolia_CLF114644.jpg"
"Caldesia parnassifolia  (Alismataceae)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismataceae_Caldesia_parnassifolia_CLF114643";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismataceae_Caldesia_parnassifolia_CLF114643.jpg"
