"IDENTIFIANT";"TITRE";"EDITEUR";"DATE ";"DESCRIPTION";"CREATEUR";"LANGUE";"TYPE";"FORMAT 1";"Droits";"SOURCE";"URL"
"BCU_Bastaire_Stella_221_C92672_1110855";"Le coeur de tante Miche";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 221 ";"Magali";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_221_C92672_1110855.pdf"
"BCU_Bastaire_Stella_223_C92673_1110858";"Le jardin bleu";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 223 ";"Bruyère André";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_223_C92673_1110858.pdf"
"BCU_Bastaire_Stella_225_C92675_1110860";"La cruelle victoire";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 225 ";"Vallet Maurice";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_225_C92675_1110860.pdf"
"BCU_Bastaire_Stella_226_C92676_1110861";"Mlle d'Hervic, mécano";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 226";"Doré Manuel";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_226_C92676_1110861.pdf"
"BCU_Bastaire_Stella_227_C92677_1110863";"Prix de beauté";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 227 ";"Williamson Alice Muriel";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_227_C92677_1110863.pdf"
"BCU_Bastaire_Stella_229_C92678_1110866";"La demoiselle de compagnie";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 229";"Cervières Paul";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_229_C92678_1110866.pdf"
"BCU_Bastaire_Stella_231_C92680_1110871";"L'anneau d'opales";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 231";"Dourliac H.-A.";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_231_C92680_1110871,pdf"
"BCU_Bastaire_Stella_235_C92681_1110875";"J'aimerais aimer...";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 235 ";"Dourliac H.-A.";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_235_C92681_1110875.pdf"
"BCU_Bastaire_Stella_236_C92682_1110885";"L'infant à l'escarboucle";"Editions du ""Petit Echo de la Mode""";1930;"Collection Stella ; 236 ";"Cys Éric de";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_236_C92682_1110885.pdf"
"BCU_Bastaire_Stella_238_C92683_1110886";"Quand la cloche sonna...";"Editions du ""Petit Echo de la Mode""";1930;"Collection Stella ; 238 ";"Hella Mary";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_238_C92683_1110886.pdf"
"BCU_Bastaire_Stella_241_C92684_1110890";"L'ombre de la gloire";"Editions du ""Petit Echo de la Mode""";1930;"Collection Stella ; 241 ";"Renaudy Claude";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_241_C92684_1110890.pdf"
"BCU_Bastaire_Stella_242_C92685_1110893";"Le fiancé disparu";"Editions du ""Petit Echo de la Mode""";1930;"Collection Stella ; 242 ";"Gourdon Pierre";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_242_C92685_1110893.pdf"
